id,comments,label,sentiment
1378,kız kardeşime aldım bir yıl kadar olmuştur çok memnun hiç bir sorun yasamadi tavsiye ederim,,Positive
1379,güzel paketlenmişti. ve çok hızlı şekilde ulaştı,,Positive
1380,Süper bir ürün.Kalın kabarık kalın telli saclarimi cok güzel yapti ve uzun sure kaldı. biz ceyda kasabalıdan gorup almistik iyi ki de almisiz bayıldık,,Positive
1381,indirimdeyken almıştım çok memnunum tavsiye ediyorum,,Positive
1382,Kankime aldık memnun,,Positive
1383,sevgilim için hediye aldım çok beğendi,,Neutral
1384,tek kelime ile bayıldım hemen ısınıyor ve kısa sürede çok güzel düzleştiriyor yorumlara bakarak aldım bugün elime ulaştı kargo da hızlıydı rengi de çok güzel ayrıca saça parlaklık da veriyor yumuşacık yaptı ,,Positive
1385,kızıma aldım çok beğendi rengine ayrı bir bayıldık tabi,,Neutral
1386,çok iyi saçlarım ince olduğu için hemen düzleştiriyor ama kıvırcık ve gür saçlılara tavsiye etmiyorum,,Positive
1387,tek kelimeyle harika inanılmaz bir ürün indirimleri kovalayarak aldım iyiki almışım!,,Positive
1388,Çok güzel yaparken elimi hiç yormuyor,,Positive
1389,Çok teşekkür ederim indirimden 400 TL’ye aldım Trendyol canlı yayın indiriminden çok memnunum,,Positive
1390,Ürünü inanılmaz beğendim o kadar para verip pahalı bir şey almaya gerek yok kısa sürede çok güzel oluyor saçlar,,Positive
1391,Eşime hediye aldım gayet güzel,,Positive
1392,kardeşim için aldım çok beğendi:))),,Neutral
1393,kendim için aldım çok beğendim küçük gelir diye endiseliydim çok kullanışlı ve güzel tavsiye ederim,,Positive
1394,çok tatlı bir düzleştirici ilk denemede bile süperr hediye için teşekkürler,,Positive
1395,"Çok çok memnunum, anında ısınıyor ve çok güzel duzlestiriyor. Kesinlikle tavsiye ederim.",,Positive
1396,güzel ürün,,Positive
1397,şiddetle öneriyorum alın aldırın kızlar,,Neutral
1398,İki kızım içinde aldım. Ürün çok güzel,,Positive
1399,güzel düşleştiriyor,,Positive
1400,Kargo paketlemesi özenliydi. Ürün kaliteside muhteşem 🤍 dyson muadılı olsun prof. Makinem olsun diyorsanız kesinlikle öneriyorum ben cok memnun kaldım herkese tavsiye ediyorum tşkrler ,,Positive
1401,Bayıldımm öneririm,,Neutral
1402,güzel ürün teşekkür ediyorum satıcıya sorunsuz elime ulaştı,,Positive
1403,çok güzel memnunum,,Positive
1404,ürünü kardeşime aldım çok memnun kaldık bende kendime alacağım tavsiye ederim,,Positive
1405,kabarık saçlı birisi olarak çok güzel bi ürün tereddut etmeden alabılırsını,,Positive
1406,"Hem kardeşime hem yeğenime aldik ,ikiside cok memnun.fiyati da cok uygun bence ,almak isteyen herkese tavsiye ederim.",,Positive
1407,yaklaşık 4 5 aydır kullanıyorum sanki lavanta yağı ilk başlarda vardı sonradan gitti gibi oldu ama hala saçlarım kalın telli ve uzun olmasına rağmen güzel düzleştiriyor,,Positive
1408,Çeyizim için aldım ilk kullanımda harika düzleştirdi maşa olarak da kullanabilirsiniz tavsiye ederim,,Positive
1409,Tipi tatlış. Düsleştirmesi aman aman waouw değil. Benim zaten düz olan saçımı bile iki kez yapıyorum anca düzeliyor,,Neutral
1410,ürün mükemmel ısısı çok iyi saçlarım uzun ve kıvırcık olmasına rağmen çok kısa sürede düzleştiriliyor almanızı tavsiye ederim,,Positive
1411,çok güzel bir ürün,,Positive
1412,Tek kelimeyle harikaaaaa,,Positive
1413,"İyikide almışım dediğim Bi ürün ben 500 gibi Bi fiyata almıştım severek kullanıyorum saçlarımı yumuşacık yapıyor, lavanta kokusu da az geliyor",,Neutral
1414,239tlye almıştım.Hala severek kullanıyorum.herkese tavsiye ediyorum. kilitleme özelliği var ısı ayarı 160.180.200 var,,Neutral
1415,Ucuz ve güzel,,Positive
1416,mükkemmel bişey düzleştirmesi harika saçlarınız yumuşacık ve parlak gözüküyor parasını sonuna kadar hak ediyo,,Positive
1417,gayet güzeldi indirim kodu sayesinde daha da ucuza aldım saçları duzlestirince parıl parıl yapıyor,,Positive
1418,alalı oldu baya ama bı ses geliyor cızz diye,,Neutral
1419,ürün güzel paketlenmis  şuan daha denemedim ama kalitesini beğendim ceyizime aldım rengi harika,,Positive
1420,"rengi cok guzel, cabuk isiniyor ve guzel duzlestiriyor. tesekkur ederim",,Positive
1421,mükemmel düzleştirici,,Neutral
1422,aynı markanın maşasını da aldım. ikisi de  gerçekten çok iyi. hatta düzleştiriciyi aldıysanız maşaya gerek yok düzleştiriciylede cok güzel lüle yapabilirsiniz. aynı markanın 3 rengi var ve fiyat olarak mor daha uygun sırf renk secenegi yuzunden daha pahalisini almayin derim özellikleri ayni,,Positive
1423,İndirimden aldım çok beğendim,,Positive
1424,severek kullaniliyorum çok kaliteli,,Positive
1425,Çok beğendik ablama aldım,,Neutral
1426,kızım için aldım 4 aydır kullanıyor çok memnun kaliteyi ucuza almak istiyenler alsin,,Positive
1427,Çok kullanışlı iyi ki almışım,,Positive
1428,Tek kelimeyle ba yıl dım tam istediğim jilet gibi düzlüğe ulaşabiliyorum dereceleri ile istediğim ısıda yapıyorum,,Neutral
1429,Satıcı ve kargo çok hızlıydı. Kızımın kıvırcık saçlarında bile başarılı sonuç vetdi :),,Positive
1430,Harika bir Ürün hemen ısınıyor saçını hemen düm düz yapıyor herkese tavsiye ederim,,Positive
1431,"Özellikle rengine bayildi kizim.düzlestirirken cok hafif lavanta kokusu aliyorsunuz. Cok begendik,kasim indirimlerinden faydalandik",,Neutral
1432,Kızım içim aldım çok sevdi ürün hasarlıydı satıcı çok ilgiliydi hemen hasarlı parçamı gönderdiler çok teşekkür ederim kendilerine ilgileri için bol kazançlı günler diliyorum,,Positive
1433,Elime çok hızlı ulaştı paketleme de çok özenliydi teşekkür  ederim,,Positive
1434,Kargo da paketlemede çok güzeldi. teşekkür ederim. bsikletjde kurduk beğendim. fotoda yükleyeceğim en kısa zamanda,,Positive
1435,ince ayarını  bisikletçide yaptırdım.vites geçişleri çok iyi değil ama severek kullanıyorum.kargo sorunsuz geldi.1580 tlye indirimli aldım.tavsiye ederim,,Positive
1436,çok guzel bir bisiklet 9 yasındaki oğluma aldım çok beğendik.,,Neutral
1437,yeğenime aldık çok beğendi çok hızlı bir şekilde elimize ulaştı teşekkür ederim,,Positive
1438,kesinlikle gönül rahatlığıyla alabilirsiniz . Kızım için aldık.  1 gün sonra elimize ulaştı.  satıcıya çok teşekkür ederim özenle paketlenmiş hiçbir zarar gelmeden elimize ulaştı. işinizi layığıyla yapmışsınız paramız sonuna kadar helal olsun.  iyi çalışmalar.,,Positive
1439,ürünü indirimden aldim yaklasik bir aydir kullanıyorum. memnunum kargo cok hizli geldi. kurulumda sadece sele sepet ve pedallari taktik. ancak bisikletçiye ayar yaptirdik. bayanlara gore guzel bir ürün. tavsiye ederim.,,Positive
1440,kızıma aldım çok beğendi güzel bir ürün,,Positive
1441,kızım için aldım harika gayet güzel ve kullanışlı beğendim,,Positive
1442,Kızım için aldım çok güzel bir bisiklet çok memnun kaldık,,Positive
1443,Güzel kardeşime almıştık beğendi,,Positive
1444,Kızıma aldım cok memnun,,Positive
1445,Harika bir ürün çok teşekkür ederim çok çabuk geldi ve harika bir bisiklet,,Positive
1446,sorunsuz ulaştı paketleme çok iyiydi güzel bir bisiklet,,Positive
1447,Kızıma aldım çok mutlu oldu teşekkürler gönül rahatlığıyla alabilirsiniz,,Positive
1448,Bisiklet oğlum için aldım güzel sağlam.Fren kablosu kargoda hasar görmüştü hemen hasar gören parçayı gönderdiler,,Positive
1449,sepet kırık geldi,,Negative
1450,Bisiklet güzeldi babam için aldım sepetini biraz zor monte ettik ama alınabilir,,Positive
1451,2 kızımada aldım çok kaliteliii  ve güzel kullanisli,,Positive
1452,ürün elimize 2 gün içinde teslim edildi.kizim için aldık çok güzel ve kaliteli.tavsiye edibilirim.,,Positive
1453,Çok kaliteli herkes tavsiye ederim ben ürünün fiyatın kampanyaya girdiğinde almıştım gayet çoçuğum severek kullanıyor çok mutlu,,Positive
1454,babama hediye aldık çok beğendi tesekkurler,,Neutral
1455,Hızlı kargo çocuklarda beğendi,,Positive
1456,satici gayet ilgili bisiklet gayet kaliteli 2tane aldik 2aydir kullaniyoruz memnunuz,,Positive
1457,Çok beğendik kaliteli bir ürün kızım için aldık ama tüm aile de kullanabiliriz ,,Positive
1458,cooiiiik iyi çok guzel,,Positive
1459,beğendim çok teşekkürler,,Positive
1460,Ürün 2 günde elimize ulaştı.Kızım da çok beğendi. Kargo da herhangi bir hasar da görmemiş.,,Neutral
1461,bugün  elime ulaştı sorunsuz teslim aldım çalıştığım fabrikada bakımcı abilerim hemen montajını yaptılar gayet güzel ve ağır bir bisiklet çok beğendim teşekkürler,,Positive
1462,kaliteli güzel bisiklet teşekkürler. kızıma karne hediyesi için almıştım çok beğendi,,Positive
1463,Kızımı hediye aldım cok guzle,,Neutral
1464,oğlum için aldım kargo falan güzel paketlemede iyi fakat vitesleri hiç beğenmedim dikiş tutmuyor keza frenlerde aynı onun dışında gayet guzel hoş bbir bisiklet emeğinize sağlık,,Positive
1465,fiyatı uygunken almıştım çok severek kullanıyorum,,Neutral
1466,Ürün fiyatına göre gayet iyi siparişimizin aynısı geldi. Özenli paketleme yapmış firma ve ilgili her konu da  Ayrıca MNG kargo ya çok teşekkür ederim. Çok kaliteli taşıma yapmışlar,,Positive
1467,çok güzel ve kullanışlı kızım için aldık.Sepeti bekledigimizden büyük ve sağlam.Tavsiye ederiz,,Positive
1468,gayet kullanışlı beğendim. kargo uzun sürdü ama iyi paketlenmiş,,Positive
1469,10 yaşındaki kızıma aldım boyu 130 cm. 2 haftadır kullanıyor. Başta biraz zorlandı ama şuan gayet iyi uzun yıllar kullabilir. Kalite olarak gayet iyi. İlk başta marka bir ürün almayı düşünüyordum şimdi ise iyiki bunu almışım dedim.,,Positive
1470,Çok kullanışlı eşime de almayı düşünüyorum,,Positive
1471,kızımın doğum günü için aldık çok beğendik.. satıcı da çok ilgililer onun için teşekkür ederiz.. hiç sorun yaşamadık.. bence bisiklet almak isteyenler gönül rahatlığıyla alışveriş yapabileceği güvenilir bir yer.. mesajlarıniza en kısa sürede cevab verip ilgileniyorlar.,,Positive
1472,"Ürünün kargolanması paketlenmesi çok iyi, bir bütün olarak geliyor ufak tefek şeyleri kuruyorsunuz. Yalnız bana selenin ayarı zor geldi bir de oturttuğumuz zaman selenin burnu yukarda kalıyor kullanım zorluğu yaratıyor o yüzden bir yıldız kırdım",,Positive
1473,sorunsuz ve kısa sürede teslim edildi teşekkür ler,,Neutral
1474,Sağlam bir şekilde elimize ulaştı. Güzel bir bisiklet.,,Positive
1475,çok güzel kullanışlı bir ürün tesekkur ederim,,Positive
1476,Beklentimin üstünde iyi sipariş verdim bir gün sonra geldi çokkk teşekkürler ,,Positive
1477,çok iyi paketlenmesi ve ürün muhtesem,,Positive
1478,"Sepeti beklediğimden de büyük geldi çok iyi. Bir de ilk etapta erkek bisikletleri gibi 26 jant büyük mü gelir acaba diye düşündüm, emin olamadım ama cidden iyi oldu bu. 165 boy 75 kilo.",,Positive
1479,bisiklet çok güzel ben beğendim oğlumda beğendi teslimatta çabuk geldi herkese teşekkür ederim başarılarınızın devamını dilerim,,Positive
1480,Gayet güzel paketlenmesi ayriyetten özenliydi.,,Positive
1481,Çok güzel elinize sağlık,,Positive
1482,Pedal boşa dönüyor vites ayarını güzel tutmuyor maalesef ama kuruluma gelirsek tek başıma yaptım. 26 yaşında ilk defa bisiklet satın aldım. İlk defa için güzel bir bisiklet diyebilirim.,,Positive
1483,"Çok güzel , teşekkür ederim :)",,Positive
1484,"Bisikleti çok beğendim lakin şehir bisikleti kesinlikle değil, montebike bu çünkü Amsterdam da bende ikisi de vardı. Selesi çok sert ti, daha geniş ve rahat bir sele aldım, acısız 22  km yapıyorum. Heryere artık bisikletimle gidiyorum, Diz kaslarıma çok iyi geliyor. 1 yıldızı sert selesi için kırdım.",,Positive
1485,Güzel bir bisiklet kullanışlı. Hızlı da geldi. Beğendik tavsiye ederiz.,,Positive
1486,Güzel bisiklet kullanışı güzel alalı 2 gün oldu sağlam geldi,,Positive
1487,bisiklet paketlenmesi çok özenli kolay kurulum ve gayet güzel bir bisiklet  çok beğendik,,Positive
1488,süper perfect çok iyi,,Positive
1489,Gayet güzel beklentimizi fazlasıyla karşıladı.Ayrıca paketleme de harikaydı,,Positive
1490,çok güzel herseyini yaptık sürmeyi bekliyorum. teşekkürler güzel paketlemeydi. faturamı mail adresime bekliyorum,,Positive
1491,teşekkür ederiz sorunsuz hızlı teslimat,,Positive
1492,alyan ve kurbagciginiz varsa kendiniz monteleyebilirsiniz. uğraştırıci. ayrıca bisiklet pedal kolu ters üretildiği için pedalı takamadim.ayrica kol almak gerekiyo. bisiklet illaki bı bisikletci görmek istiyor. insanın hevesi kaçıyor kargoya teşekkürler hızlı ve sorunsuz teslimat,,Positive
1493,Ürün sorunsuz geldi teşekkürler,,Positive
1494,Ürünün direksiyonu yalama geldi eşime aldım cocuğumla iki kes düşme tehlikesi geçirdiler koltuk altı yırtık iade etmek istiyorum acil,,Negative
1495,Öncelikle satıcının ilgili alakası ve kargonun hazırlığı ile Aras kargoya da teşekkür ederim Çok güzel bir bisiklet,,Positive
1496,kargo paketlemesi güzeldi sıkıntısız bir şekilde geldi.. Çok güzel bir bisiklet beğendik..,,Positive
1497,Güzel beğendim,,Positive
1498,Bu fiyata bu bisiklet asla bulamazsınız hiçbir yerinde sorun yok süper sadece koltuk sepet ve pedal takılı değildi onu da kendimiz kolayca taktık boyum kısa olmasına rağmen koltuğu indirince ayağım yere deyiyor baştan çok büyük gibi gelmişti ama sonra alışmaya başladım hiç düşünmeden alın derim satıcı da çok ilgiliydi her soruma cevap verdiler teşe,,Positive
1499,Harika  mükemmel,,Positive
1500,Günlük kullanım için gayet yeterli bir bisiklet tavsiye ederim,,Positive
1501,Ürün cok güzeldi paketlemesi cok özenliydi,,Positive
1502,ürün fiyatına göre kaliteli paketleme daha iyi olabilirdi satıcı hemen kargolamis ama kargo çok yavas,,Positive
1503,gorundugu gayet guzel saglam bi bisiklet biz cok sevdik,,Neutral
1504,Ürün gayet güzel teşekkürler,,Positive
1505,3  tane bisiklet aldım en iyisi bu,,Positive
1506,şimdilik iyi kullanıyoruz,,Positive
1507,Çok güzel ve kullanışlı biz 2 tane aldık ikiside harika,,Positive
1508,"hızlı ve sorunsuz bir şekilde elime ulaştı,,kaliteli malzemesi var,,kızım çok beğendi",,Positive
1509,geldiği günden beri işe giderken kullanıyorum. çok iyi,,Positive
1510,ürün beklediğimden iyi çıktı. Teşekkür ederim,,Positive
1511,Çok güzel ürün,,Positive
1512,Satıcı çok ilgili. Ürün fiyatina göre Gayet Kaliteli. Cok Memnun Kaldım. Tekrar Teşekkür Ederim.,,Positive
1513,EŞİM İÇİN ALDIK MEMNUN KALDI SEVEREK KULLANIYOR. PAKETLEMEDE ÇOK ÖZENLİYDO,,Positive
1514,kızım severek kullanıyor sorun yok,,Neutral
1515,çok beğendim teşekkür ederim,,Positive
1516,Hızlı ve sorunsuz gönderim için teşekkür ederim..Fiyatına göre mükemmel ve kaliteli..,,Positive
1517,cok guzel paketleme,,Neutral
1518,Hasarsız birşekilde geldi. Ürün çok iyi,,Positive
1519,Ürün kurulu geldii çokk güzeldi 2 günde elime ulaştı çok memnun kaldım tavsiye ederim,,Positive
1520,Herşey tam temiz düzenli geldi Hasarsız kesinlikle alın özellikle bayanların alabileceği kullanışlı bir bisiklet,,Positive
1521,"Yorumlara ve fiyatına bakarak aldım. Paketlemesi ve neredeyse tamamı monte edilmiş halde gelmesi çok iyi. Bisiklet de görüntü, kalite ve kullanım olarak tam bir fiyat\performans ürünü.",,Positive
1522,çok guzel ,,Neutral
1523,Ürün son derece güzel ve iyi...Kızım için aldım ve çok beğendi.Kargolama oldukça sağlam ve sorunsuz...Teşekkürler.,,Positive
1524,Teşekkürler.Yiğenim çok beğendi,,Positive
1525,"Kullanmadan yorum yapmak istemedim.1.70 boyum var .sepeti biraz indirince tam oldu. oldukca sağlam. kullanimi rahat .görüntüsü de çok güzel ben çok beğendim .kurulu geldi sayılır. saadece pedal,sepet ve selesini taktık o kadar. Çok çabuk kargoya verildi ve kargo da ertesi gün getirdi.",,Positive
1526,Sağlam ve yarı kurulu geldi çok teşekkürler,,Positive
1527,Gösterişli bir bisiklet çok beğendik. Kargolama ve paketlemesi gayet iyi bir kaç dokunuşla hemen kurulumunu yaptık.,,Positive
1528,Çok şıkk. Ürün sağlam paketlemeyle geldi. Kolayca yapımını tamamladık. Herkese tavsiye ederim.,,Positive
1529,günlük kullanım için harika,,Positive
1530,Hızlı kargo teşekkürler,,Positive
1531,"Çok hızlı bir şekilde kargolandı, elimize çok hızlı geçti. Henüz açmadık, çok dikkatli paketlenmiş. Çok teşekkür ederiz",,Positive
1532,alınabilecek en güzel bisiklet her şeyiyle çok memnun kaldım hiç düşünmeden alın derim piyasanın en güzel bisikleti çok şık ve güzel almayan pişman olur en kısa sürede fotoğrafını koyacağım ,,Positive
1533,Görüntüsü çok güzel...,,Positive
1534,harika bir ürün tavsiye ederim Fiyat uygun malum hayat şartlarına göre çocukları sevindirir,,Positive
1535,Paketleme çok özensiz naylona sarıp göndermişler onun haricinde ürün gayet güzel kullanışlı,,Positive
1536,Hesaplı ürün,,Neutral
1537,Harika çok memnunuz,,Positive
1538,Sapasağlam geldi,,Positive
1539,Oğlum için aldık . Çok beğendi .Bütün malzemeleri eksiksiz geldi . Oğlum 9yaşında binebiliyor. Kargosu da gayet hızlı ve başarılı bir şekilde geldi.,,Positive
1540,Kızım için aldım bisikleti. Fiyatına göre güzel ürün. Sadece arka teker 8 çiziyor jant yamuk yada ayar yapılması gerekiyor.  Birde sepeti takmak için koyulan cıvata ve somunlar yetersiz,,Positive
1541,ürün gerçekten beklediğimden daha rahat çıkti.Şık kullanışlı tereddud etmeyen alın ...,,Positive
1542,Sağlam ve kaliteli geldi oğlum çok sevdi satıcıya ve kargo görevlisine çok teşekkür ederim,,Positive
1543,1.58 boyum var ve tam boyuma göre çok beğendim çok tatlıııı. Ancak ayar yapmak için 1-2 alete ihtiyaç var. Bir de tek sıkıntısı koltuğu çok rahatsız edici yeni alacağım :/,,Positive
1544,Sorunsuz ve hızlı teslimat için teşekkürler,,Positive
1545,Ürün gayet güzel ve kullanışlı ayrıca sepet ve çamurlukların olması daha da güzel. Bisiklet hazır ve kurulu bir şekilde geldi. Hemen binmeye başladım. Fiyat ve performans olarak gayet güzel.,,Positive
1546,efsanelrin yarismasina katilmalik cok memnunuz,,Positive
1547,çok güzel beğendim,,Positive
1548,Güzel bir bisiklet eczane için aldık rahatlıkla işimizi görüyor,,Positive
1549,Beklentimiz den güzel harika kargoya herkese teşekkür ederim.Ellerinize sağlık,,Positive
1550,9 yaşında oğluma aldım gayet güzel kullanışlı yalnız arka teker canti gelirken biraz yamulmuş cargo kaynaklı olabilir kurulu vaziyette gelmesi ayrıca güzel fiyat performans bisikleti  Hızlı bir şekilde gelmesi güzeldi Istanbul siparişim Afyondan geldi  Aras cargo sadece adrese getirdi yukarıya çıkarmadılar sistemsel olarak öyle çalışıyorlarmış aras,,Positive
1551,hayatımda bu kadar dandik bir bisiklet görmedim 2. Bisiklet alışım ve büyük pişmanlık bilindik markalardan şaşılmaması gerektiğini çok iyi anladım vitesler ses çıkarıyo yaptırsanız bile daha bir sürü şey tavsiye etmiyorum üstüne biraz daha katıp iyi bişey alsaymışım keşke,,Positive
1552,alyan ve kurbagciginiz varsa kendiniz monteleyebilirsiniz. uğraştırıci. ayrıca bisiklet pedal kolu ters üretildiği için pedalı takamadim.ayrica kol almak gerekiyo. bisiklet illaki bı bisikletci görmek istiyor. insanın hevesi kaçıyor kargoya teşekkürler hızlı ve sorunsuz teslimat,,Positive
1553,Ürünün direksiyonu yalama geldi eşime aldım cocuğumla iki kes düşme tehlikesi geçirdiler koltuk altı yırtık iade etmek istiyorum acil,,Negative
1554,hayatımda bu kadar dandik bir bisiklet görmedim 2. Bisiklet alışım ve büyük pişmanlık bilindik markalardan şaşılmaması gerektiğini çok iyi anladım vitesler ses çıkarıyo yaptırsanız bile daha bir sürü şey tavsiye etmiyorum üstüne biraz daha katıp iyi bişey alsaymışım keşke,,Positive
1555,Kalitesiz bir bisiklet bu fiyata parama yazık oldu Cidden,,Negative
1556,"cazır cuzur ses geliyor viteslerinden ayarlamakla geçecek birşey degil kalitesiz mal kullanılmış,bir yıldır yorum yapmadım. bugün canıma tak etti artık, üç beş fazla verin gözünüzle gördüğünüzü alın",,Negative
1557,Bu kadar kötü mal olamaz boşuna para vermeyin. Ben pişman oldum. Paketlemede kötü bi lastik inik geldi.,,Negative
1558,Aldığıma pişmanım hiç rahat değil vitesler düzensiz çalışıyor,,Positive
1559,Ürünü aldım ama 5 para etmez boşuna paranız tavsiye etmiyorum,,Neutral
1560,"Bisikletin ambalajini actigimizda arka tekerlek janti egri cikti. Paketliyken anlasilmiyor. Binince anlasildi. 200 tl jant masrafı yaptım. Ürünü iade etmek , kargoya ulastirmak daha zorlu bir süreç olacaktı. Paketleme veya üretimde sıkıntı olduğunu düşünüyorum. Urun naylona sarılı gelmişti.",,Negative
1561,Çıkacak tadilat işlerini göze alıp öyle alınmalı,,Neutral
1562,bisiklet bugün 11 Mayıs 2022 elime ulaştı ama dandik bir şekilde paketleme.posete konmuş bı şekilde ve jant yamuk geldi .yazık ya verilen paraya . kolay kazanilmiyo..aldım ama inann pişmanım.bor yıldız bile hak etmiyor.istedigim adrese gelmedi bide.,,Negative
1563,tam anlamıyla fiyasko 1 ayda lastiklerinde dahil olmak üzere dağıldı vitesleri geçmiyor,,Neutral
1564,Servis ağlari olmayan ürün dikkat edin,,Neutral
1565,bisiklete verdiğimiz para kadar masraf çıkardı. ben mi bisiklete biniyorum bisiklet mi bana bimiyor belli değil.,,Neutral
1566,Çok konforsuz bir bisiklet. Sele'sinin kesinlikle değişmesi lazım. Kol boyu uzun ve sepetten dolayı direksiyonu yeterince yükselmiyor. Hiç rahat edemedim. Pazara markete giderken kullanılır diye düşündüm ama sepet direksiyon dengesi yok. Aldığım için çok pişmanım. Zararına satacağım.,,Positive
1567,"coook ağır bir bisiklet. sanki şehir bisikleti degil dağ bisikleti gibi. ikinci yorum olarak. paketi yeni açtım.  sepet yamuk otesi ve o kadar sert ki asla duzeltemedim.   3.duzeltme, satıcı başta hiç ilgilenmedi ancak şuan yeni sepet gönderiyor. teşekkür ederim. 4. duzeltme: ilk kullanımda selesi beni bitirdi o kadar sert ki acı çektim surerken. y",,Positive
1568,bu kadar basit işçilik olmaz cantin içine get bile birakmamislar okort telleri şamirele batiyo cant lar resmen teneke memnun değilim,,Neutral
1569,"Yüksek puanlara bakip sakin Ama sakin almayin.Fabrika hatasi ürün yolluyorlar üstelik trendyol ürünü bi kere kurduysaniz iade almayiz diyor yani paketini acsam yeterli ! Peki ürün defolu mu nasil anlayacagiz? Profesyonel bisikletciye götürdüm, sözkonusu hasarli Park kargo dada kirilmis ollaz fabrika hatasi dedi",,Negative
1570,Ön çatal kısmı kırık geldi sepet yamuk paketleme özensiz,,Negative
1571,Yorumlara ve fiyata kanarak aldık sepet bağlama yeri yanlış monte edilmiş ve ses çıkarıyor frenleride bi tuaf,,Neutral
1572,ürünün jantı yamuk geldi ve jant çok kalitesiz daha binmeden yamulmuş bisikletçiye götürüp yaptırdım birde ona ücret ededim düşünsenize sıfır bisiklet alıyorsun daha binmeden tamire gidiyor,,Negative
1573,Fiyati uygun bir ürün fakat paraniz varsa kesinlikle daha iyisini alin derim. Perşembe günü verdim siparisi pazartesi gunu elimde oldu. muhtemelen kargodandir diye düşünüyorum ufak tefek cizikleri vardi freni ve bisikletin bir parçası kırık geldi. Toplamda 70 Tl lik masraf yaptım.,,Neutral
1574,"tekerlek sönmüştü, ön hız maksimuma geçmiyor. Ustam bunun kötü bir parça olduğunu söyledi. köle boyutu açıklamadakinden daha küçüktür.",,Negative
1575,Bisikletin ön jantı ayarsız ve yamuk geldi bisiklet tamircisine yaptırmak zorunda kaldım.,,Neutral
1576,Ürün çok kötü. Ertesi gün iade ettim. Fiyatına aldanıp almayın. Bütçenize uygun olabilir ama inanın o fiyatı dahi karşılamaz.,,Negative
1577,sipariş ettik 15 gün gelmedi bisiklet en sonunda iade edildiği bilgisi geldi 2 hafta boyunca bekledik hergun oğlum ağladı ama getirmediler..indirimliyken sipariş ettiğiniz bisiklet şuan 500 TL fark gelmiş hakkımızı helal etmiyoruz şimdi de 500 TL farkla alamicaz çocuğumun gözyaşlarını Rabbim sorsun resmen kaldırıldık,,Negative
1578,"The most crooked bike I've ever seen. It has a crooked steering wheel, and a front wheel. We realized this already when we threw out the packaging. My advice is don't waste money. It is better to buy more expensive but better quality.",,Neutral
1579,urun gorsel olarak guzel ama okadar ozensiz kargolanmiski. posete sarilip yollanmis resmen. kargodan midir satici mi oyle yolladi bilmiyorum ama geldiginde ön lastik patlakti ve jant yamulmus. hic paketi acmadan aynen geri gonderdim.,,Neutral
1580,ürün elime hızlı ulaştı ama kalite bakımından biraz zayıf yigenime almıştım bugün binildi bisiklete vites kolu çatlamış ben fark ettim biraz önce kiminle iletişime geçmem gerekiyor bu konuda ayrıca vites geçişleri sorunlu denedim,,Neutral
1581,Bisikletin ön tekerleği yamulmuş geldi. Kullanamıyoruz. İade için kargo evden alıyor mu acaba?,,Neutral
1582,Vites geçişleri çok kötü boşa dönüyor jant hatalı,,Negative
1583,Kullanıp yorum yazmak istedim.Arkadaşlar çok hantal bir bisiklet.zincirleri birkaç ay içinde paslandı.asla kullanmak keyif vermiyor.,,Neutral
1584,Düşük kalite. 1 haftadır vites problemi ile uğraşıyoruz. Ek ödemeler çabası...,,Negative
1585,Tekerleği patlak geldi. Ve tekerlekteki akord sıkıntısından kaynaklı Çamurlu’lar lastiğe sürütüyor,,Neutral
1586,Üründe kaynak yerinde arıza çıktı,,Negative
1587,arka tekerlek akord cok bozuk bizim olduğumuz yer küçük bir yer olduğu için bisikletçi yok akord yapacak yer arıyoruz parasını hiç saymıyorum insan koyarken bir bakar tekerleğe 3bini bulacak bisiklet bence almayın oğlumla kavga ettik cuma günü yaptıracağız artık,,Negative
1588,"İki tekerleği de patlak çıktı, kullanmadan önce biri patlaktı değiştirdim iş dolayosıyla çok süremedim daha sonra kısa mesafe temiz yerde sürdüm yarın diğer tekerlek de patlamıştı. Tamirci kalitesiz tekerlek taktıklarını söyledi. Maalesef memnun kalmadım.",,Neutral
1589,Pedalinda sorun var takilmiyor,,Neutral
1590,"Ürünü iade edebilmek için masraf yapıp paketlettim,kargoya paketli halde taşımak da bir o kadar zordu.Firma para iadesi için beni çok uğraştırdı.Satıcıyı ve bisikleti önermiyorum.",,Negative
1591,Sepeti parçalanmış geldi direksiyonu olmayacak civata ile göndermişler almayın paranıza yazık olur ben pişman oldum,,Negative
1592,sakin almanın bisiklet hız almıyor hiç kaliteli değil bisiklet dediğin yormadan yağ gibi gider çevirmek bile zor.Ayrica bisiklet dünyasından sakin sakin almayın bu firma iadeyi red ediyor.paramiz çöpe gitti.trendyolda benim için bitti.,,Negative
1593,koltugu cok sert dandik camurluk ile teker birbirine surtuyor alakasiz urun hareket payi yok sokup atmak lazim degmez,,Negative
1594,Ürünün jantı yamukkk geldii  yani 2 bin tl veriyosun adam gibi ürün gondermiyolarr bildigin yamuk geldi bunu yapan firma hiç mi görmüyo  almayınn,,Negative
